scenario_id,split,base_step,time_s,block_id,temperature_C,current_A,voltage_V,soc_pct,source_current_A,source_voltage_V,source_ocv_V,ambient_C,temperature_source
ambient_+05.0C,train,0,0.0,0,5.054063099848918,0.003153133190473456,3.5250129364997327,99.9,0.0,3.52875465535999,3.5287536380000017,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,1,1.0,0,5.060914244573308,-0.002788215263958527,3.526032178431515,99.89998901896439,-0.000270769,3.52869784405527,3.528752252327274,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,2,2.0,0,5.067021485222108,-0.0006890731473822905,3.524357630489376,99.8999780379288,-0.000270769,3.52869615030792,3.5287508666545526,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,3,3.0,0,5.061740408601868,0.0010696441273610477,3.525669564111009,99.8999597385821,-0.000451223,3.52865660229084,3.52874855750025,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,4,4.0,0,5.071572196536479,0.003485493290428733,3.524665212265139,99.89994143923539,-0.000451223,3.52865378927945,3.528746248345948,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,5,5.0,0,5.068793089605327,-0.0024017231461383173,3.525861403490126,99.8999231398887,-0.000451223,3.52865097947431,3.5287439391916475,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,6,6.0,0,5.070696253764949,-0.0012861980765550961,3.5256673605613056,99.89990484054199,-0.000451223,3.52864817284881,3.5287416300373455,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,7,7.0,0,5.0776054149701215,-0.0027936299635839233,3.5248123278211314,99.89989385950639,-0.000270769,3.52868322560106,3.528740244364621,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,8,8.0,0,5.08988000381942,-0.002951091400013905,3.5255041202509356,99.8998828784708,-0.000270769,3.52868154842763,3.5287388586918977,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,9,9.0,0,5.079134419829437,-0.0014599448888212823,3.5244162937642796,99.8998645791241,-0.000451223,3.52864201686566,3.5287365495375957,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,10,10.0,0,5.07627089230205,-0.0064191152036224,3.5236863729344345,99.8998462797774,-0.000451223,3.52863922017279,3.528734240383295,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,11,11.0,0,5.076417152428434,-0.006892885956296515,3.526758006203781,99.8998279804307,-0.000451223,3.52863642655071,3.528731931228993,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,12,12.0,0,5.08282829354266,-0.005415292538525501,3.525180013865665,99.8998169993951,-0.000270769,3.52867149218299,3.5287305455562685,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,13,13.0,0,5.0813968298586225,0.0016419321836090778,3.5244647331261545,99.89979870004841,-0.000451223,3.52863197157568,3.528728236401968,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,14,14.0,0,5.06676561356165,-0.004457463732149814,3.524819911340296,99.8997877190128,-0.000270769,3.52866704194967,3.5287268507292446,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,15,15.0,0,5.054561086025813,-0.0011356551369025216,3.525079550793487,99.89977673797719,-0.000270769,3.52866538225148,3.5287254650565174,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,16,16.0,0,5.039774016456102,0.004053221926653847,3.5260930467916967,99.8997584386305,-0.000451223,3.52862586804091,3.528723155902218,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,17,17.0,0,5.040988532040731,-0.47947139345538986,3.500922898204558,99.8802295331471,-0.481541306,3.42770770476635,3.52625884628286,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,18,18.0,0,5.059428194060865,-0.4812903833379702,3.4988600030315853,99.8607079459342,-0.481360853,3.42479151349082,3.5237954601399544,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,19,19.0,0,5.057082341177756,-0.4813636472979573,3.4959066428797265,99.8411863587214,-0.481360853,3.42189909859039,3.5213320739970646,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,20,20.0,0,5.05296463631471,-0.4802705061188719,3.496456121047675,99.821657453238,-0.481541306,3.41905266336186,3.518867764377706,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,21,21.0,0,5.050630359760531,-0.4772109676304681,3.492326743740339,99.80212854775449,-0.481541306,3.41635003968929,3.5164034547583336,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,22,22.0,0,5.053859994294029,-0.485197173076686,3.4874538686585472,99.7825996422711,-0.481541306,3.41377166975336,3.5143140305391367,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,23,23.0,0,5.057969216270697,-0.48357390771821734,3.4865275003507765,99.7630780550583,-0.481360853,3.41133569404177,3.5122712310386612,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,24,24.0,0,5.050891805239331,-0.48795006713408173,3.4871115624906497,99.7435564678454,-0.481360853,3.40893458319058,3.5102284315381747,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,25,25.0,0,5.055920921522843,-0.4750631983908046,3.4843155243669437,99.7240348806326,-0.481360853,3.40657197924375,3.5081856320377,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,26,26.0,0,5.055994709643109,-0.4878146591661885,3.481360052462334,99.70451329341971,-0.481360853,3.40421479290055,3.506142832537214,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,27,27.0,0,5.062356726336725,-0.4778796052124551,3.4796427527443665,99.6849917062069,-0.481360853,3.40183724954577,3.504169308094104,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,28,28.0,0,5.071555341673379,-0.4778943813785181,3.4775077064524966,99.66547011899401,-0.481360853,3.39945442602966,3.5022166160430515,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,29,29.0,0,5.063783044397818,-0.47737900423697355,3.4774636115569804,99.6459412135106,-0.481541306,3.39705593526284,3.5002631919650122,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,30,30.0,0,5.069252433752565,-0.4805428661845622,3.474057286925977,99.6264196262977,-0.481360853,3.39478089329972,3.4983104999139605,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,31,31.0,0,5.058916764628518,-0.4852492494992896,3.4706168960701316,99.6068980390849,-0.481360853,3.39254531173626,3.496357807862918,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,32,32.0,0,5.048967510046975,-0.48257140684239125,3.471196939528252,99.5873691336015,-0.481541306,3.39037550109747,3.494598756651244,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,33,33.0,0,5.043521769373374,-0.4762461368105743,3.4678806050244995,99.567840228118,-0.481541306,3.38834185103776,3.492945857431588,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,34,34.0,0,5.037956491794733,-0.4792942043968293,3.4658411718818605,99.5483113226346,-0.481541306,3.38636747121982,3.491292958211942,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,35,35.0,0,5.04772674984629,-0.4822801329698513,3.462215499328233,99.5287897354218,-0.481360853,3.3844482646185,3.4896406784004714,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,36,36.0,0,5.049963658006493,-0.4827218267962289,3.4644738821851813,99.50926814820889,-0.481360853,3.38246845995861,3.4879883985889926,5.0,synthetic_first_order_heat_model
ambient_+05.0C,train,37,37.0,0,5.060058119628164,-0.48838327604688825,3.462382449346402,99.4897465609961,-0.481360853,3.38042458168075,3.4862887789572463,5.0,synthetic_first_order_heat_model
